"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2043","test_login[test_data0]","src.test","2026-08-19","passed","2026-08-19","","test_login","",""
"","2017","test_login[test_data1]","src.test","2026-08-19","passed","2026-08-19","","test_login","",""
"","1627","test_login[test_data3]","src.test","2026-08-19","passed","2026-08-19","","test_login","",""
"","3980","test_login[test_data2]","src.test","2026-08-19","passed","2026-08-19","","test_login","",""
"","10237","test_login[invalid_user-wrong_password]","src.test","2026-08-21","broken","2026-08-21","","test_login","",""
"","711","test_navigation","src.test","2026-08-21","passed","2026-08-21","","test_navigation","",""
"","10228","test_login[standard_user-secret_sauce]","src.test","2026-08-21","broken","2026-08-21","","test_login","",""
"","29527","test_login[test_data4]","src.test","2026-08-19","passed","2026-08-19","","test_login","",""
